Namn,Bilete-bguw,Frå år,Materialar,Materialkommentar,Nasjonalmuseet,Objekt-ID,Produksjonsstad,Produsent,Til år,3D-modell,Estimert vekt (kg),Nasjonalitet,Bilete-URL,Emneord,Erverving,Setehøgde (cm),Stilperiode,Teknikk,Breidde (cm),Datering,Djupn (cm),Høgde (cm),Nemning,Hundreår,Sphericity (mesh),Fill-ratio (mesh),Inertia-ratio (mesh),"Kompleksitet (mesh, log10 v/a)",Konveks hylster-volum (m³)
Stol uten rygg,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/STOLAR/bguw/NAMF.04260.062_bguw.png,1920.0,Sølv,Sølvgelatin,https://www.nasjonalmuseet.no/samlingen/objekt/NAMF.04260.062,NAMF.04260.062,,Ikkje registrert,1930.0,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/STOLAR/glb/NAMF.04260.062.glb,,,https://ms01.nasjonalmuseet.no/api/objects/download?filename=55083.tif&size=full,Arkitekturfotografi,Innkommet til Norsk Arkitekturmuseum,,Art Deco / Tidleg modernisme,,,1920-1930,,,Stol utan rygg,1900-talet,,,,,
Balans Gravity,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/STOLAR/bguw/NMK.2005.0638_bguw.png,1983.0,"Bøk, Kryssfiner, Lær","Formbøyd laminert bøk, fernissering, kryssfiner, polstring, lærtrekk",https://www.nasjonalmuseet.no/samlingen/objekt/NMK.2005.0638,NMK.2005.0638,Norge,,1983.0,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/STOLAR/glb/NMK.2005.0638.glb,79.3,Noreg,https://ms01.nasjonalmuseet.no/api/objects/download?filename=09013.tif&size=full,"Design, Møbel",Ervervelsesopplysninger under arbeid,108.0,Postmodernisme,"Formbøying, Laminering, Polstring, Skruing",73.0,1983,127.0,108.0,Stol,1900-talet,0.7820036266397997,0.5945307705810198,0.4370593160288666,4.9297666049610855,0.5760483319483353
Garden,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/STOLAR/bguw/NMK.2005.0639_bguw.png,1985.0,"Bøk, Kryssfiner, Skumplast, Ull","Bøk, ull",https://www.nasjonalmuseet.no/samlingen/objekt/NMK.2005.0639,NMK.2005.0639,Norge,,1985.0,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/STOLAR/glb/NMK.2005.0639.glb,80.0,Noreg,https://ms01.nasjonalmuseet.no/api/objects/download?filename=140184.tif&size=full,"Design, Møbel",Gave 2005,,Postmodernisme,"Formbøying, Plugging, Polstring, Skruing, Tapping",105.0,1985,105.0,182.0,Stol,1900-talet,0.8584537759657288,0.6122734883131408,0.3514356404343838,4.768255304611751,0.9136169956129896
Omfavnelse originaltittel,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/STOLAR/bguw/NMK.2005.0640_bguw.png,1986.0,"Ask, Kryssfiner, Skumplast, Ull","Bemalt og fargelakkert ask, skåret dekor, kryssfiner, skumplast polstring med ulltrekk",https://www.nasjonalmuseet.no/samlingen/objekt/NMK.2005.0640,NMK.2005.0640,Norge,,1986.0,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/STOLAR/glb/NMK.2005.0640.glb,,Noreg,https://ms01.nasjonalmuseet.no/api/objects/download?filename=34680.tif&size=full,"Design, Møbel",Ervervet mellom 2003 og 2005,,Postmodernisme,"Liming, Polstring, Skruing",,1986,,107.0,Stol,1900-talet,0.8741057442984151,0.584723451351371,0.481089045462619,5.198984260945456,0.2330377790490901
Python,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/STOLAR/bguw/NMK.2005.0641_bguw.png,1975.0,"Metall, Tre","Fargelakkert metall, nylonsnor, tre",https://www.nasjonalmuseet.no/samlingen/objekt/NMK.2005.0641,NMK.2005.0641,Norge,,1975.0,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/STOLAR/glb/NMK.2005.0641.glb,,Noreg,https://ms01.nasjonalmuseet.no/api/objects/download?filename=08732.tif&size=full,"Design, Møbel",Ervervet 2005,,Postmodernisme,Formbøying,70.0,1975,70.0,72.5,Stol,1900-talet,0.8787062020669303,0.5988847169789486,0.6317003564527317,4.7269950435233365,2.9818259269533454
Safari,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/STOLAR/bguw/NMK.2005.0644_bguw.png,2002.0,"Kryssfiner, Tekstil, Tre","Fernissert og beiset laminert tre, tekstil",https://www.nasjonalmuseet.no/samlingen/objekt/NMK.2005.0644,NMK.2005.0644,Norge,,2002.0,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/STOLAR/glb/NMK.2005.0644.glb,22.1,Noreg,https://ms01.nasjonalmuseet.no/api/objects/download?filename=34871.tif&size=full,"Design, Møbel",Gave 2005,,Postmodernisme,"Laminering, Plugging",65.0,2002,60.0,86.0,Stol,2000-talet,0.8258894818901602,0.6419492349445652,0.6341127049211199,5.427323876298543,0.2193944455207974
Motion,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/STOLAR/bguw/NMK.2005.0645_bguw.png,2000.0,"Bøk, Metall","Fargelakkert bøk og metall, plast",https://www.nasjonalmuseet.no/samlingen/objekt/NMK.2005.0645,NMK.2005.0645,Norge,,2000.0,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/STOLAR/glb/NMK.2005.0645.glb,15.8,Noreg,https://ms01.nasjonalmuseet.no/api/objects/download?filename=08733.tif&size=full,"Design, Møbel",Ervervet 2005,89.5,Postmodernisme,"Formbøying, Laminering, Skruing",44.5,2000,60.0,89.5,Stol,2000-talet,0.830361950404274,0.489748246445006,0.451011845145369,5.336421411204921,0.0986096562801748
Reflex 1,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/STOLAR/bguw/NMK.2005.0646_bguw.png,1999.0,"Ask, Kryssfiner, Polyamid, Stål","Beiset, fargelakkert og fernissert kryssfiner og ask med dreid dekor, nylontau og sveiset stål.",https://www.nasjonalmuseet.no/samlingen/objekt/NMK.2005.0646,NMK.2005.0646,Norge,,1999.0,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/STOLAR/glb/NMK.2005.0646.glb,42.8,Noreg,https://ms01.nasjonalmuseet.no/api/objects/download?filename=08736.tif&size=full,"Design, Møbel, Prototyp",Ervervet 2005,120.0,Postmodernisme,Sveising,81.0,1999,80.0,120.0,Stol,1900-talet,0.8221307837067034,0.6968336492966062,0.6139388835537372,5.141040117333638,0.5283817218914023
Mann originaltittel,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/STOLAR/bguw/NMK.2005.0661_bguw.png,1999.0,"Ask, Kryssfiner, Polyamid, Stål","Stol i beiset, fargelakkert og fernissert kryssfiner og ask med dreid dekor, nylontau og sveiset stål.",https://www.nasjonalmuseet.no/samlingen/objekt/NMK.2005.0661,NMK.2005.0661,Norge,,1999.0,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/STOLAR/glb/NMK.2005.0661.glb,72.8,Noreg,https://ms01.nasjonalmuseet.no/api/objects/download?filename=08753.tif&size=full,"Design, Møbel, Prototyp",Ervervet 2005,,Postmodernisme,Sveising,81.0,1999,135.0,121.0,Stol,1900-talet,0.8399425777398197,0.7628777527182667,0.6072383995061543,5.09556998803208,0.7090933002665248
Diamond Chair,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/STOLAR/bguw/NMK.2006.0076_bguw.png,1952.0,Metall,Bøyd metall og sveiset stål ramme.,https://www.nasjonalmuseet.no/samlingen/objekt/NMK.2006.0076,NMK.2006.0076,,,1952.0,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/STOLAR/glb/NMK.2006.0076.glb,,,https://ms01.nasjonalmuseet.no/api/objects/download?filename=23014.tif&size=full,"Design, Møbel",2006,73.0,Funksjonalisme,"Formbøying, Sveising",85.0,1952,72.0,73.0,Stol,1900-talet,0.8788035980249951,0.5959995607654207,0.6107628743340306,5.601008126682579,0.1441288871739736
