Geo_feature,Best_mat_feature,Pearson_r,Abs_r
aspect_H_W,mat_Lær,0.33,0.33
bbox_W,mat_Lær,-0.315,0.315
symmetry_score,mat_Mahogni,0.308,0.308
h_dist_mid,mat_Mahogni,0.299,0.299
bbox_H,mat_Stål,-0.286,0.286
curv_std,mat_Mahogni,0.282,0.282
d2_bin_4,mat_Skumplast,0.278,0.278
pca_l3_l1,mat_Lær,-0.273,0.273
h_dist_bottom,mat_Mahogni,-0.261,0.261
curv_mean,mat_Lær,0.252,0.252
pca_l2_l1,mat_Lær,-0.247,0.247
h_dist_top,mat_Stål,0.244,0.244
d2_bin_2,mat_Skumplast,-0.237,0.237
curv_skew,mat_Stål,0.237,0.237
aspect_D_W,mat_Buksbom,-0.215,0.215
d2_bin_1,mat_Kryssfiner,0.207,0.207
d2_bin_5,mat_Skumplast,0.204,0.204
bbox_D,mat_Stål,0.179,0.179
d2_bin_3,mat_Bjørk,-0.157,0.157
compactness,mat_Gummi/plast,0.123,0.123
surface_ratio,mat_Nøttetre,0.118,0.118
