Feature,Importance
aspect_H_W,0.053999601340946536
pca_l2_l1,0.05041808859630835
h_dist_bottom,0.04920604510913096
symmetry_score,0.04855272347200538
bbox_H,0.04827484878838285
surface_ratio,0.04458933335019501
d2_bin_3,0.04309641509616548
bbox_W,0.04207760749090357
bbox_D,0.041950523085907486
pca_l3_l1,0.04163437154459118
d2_bin_1,0.041489977070110796
aspect_D_W,0.037982760969757154
compactness,0.037790813151424955
curv_std,0.03703064418167498
d2_bin_4,0.03689073131217806
h_dist_top,0.035507198033227896
curv_skew,0.03412608791921307
d2_bin_2,0.03231252682114898
d2_bin_5,0.03224334727217335
h_dist_mid,0.03160905152206771
curv_mean,0.030129240790834746
mat_Hestetagl,0.021437807398995437
mat_Kryssfiner,0.018098572949757974
mat_Bøk,0.013147087780377558
mat_Stål,0.009675320896823393
mat_Silke,0.008895671111704995
mat_Eik,0.00767567979249248
mat_Mahogni,0.00750090055192182
mat_Ull,0.0070988625735989574
mat_Nøttetre,0.006696496573916265
mat_Buksbom,0.006535679260300665
mat_Furu,0.005583033262705321
mat_Tekstil,0.004501911257965353
mat_Gummi/plast,0.0036048302595348314
mat_Tre,0.0033204041271642196
mat_Messing,0.0030474962378419933
mat_Bjørk,0.0028929023963342525
mat_Ask,0.0028702721269538386
mat_Palme,0.00252229717609659
mat_Bomull,0.0022637737503971183
"mat_Tekstil, fløyel",0.0021968710052049094
mat_Lær,0.0017281258699411374
mat_Metall,0.0015171867214440733
mat_Jakaranda,0.0014401260819741379
mat_Skumplast,0.0013007963652989034
mat_Plast,0.0011345009333825066
mat_Bronse,0.0007153147715104528
mat_Skinn/lær/pergament,0.0006202332441007723
"mat_Tekstil, plysj",0.0005924871159678011
mat_Alm,0.0004734214879437934
mat_Papir,0.0
