id;object_id;uuid;tittel;betegnelse;datering;fra_aar;til_aar;hundreaar;produksjonsstad;produsent;materialar;material_kommentar;teknikk;dekorteknikk;maal;hoegde_cm;breidde_cm;djupn_cm;setehoegde_cm;emneord;klassifikasjon;stilperiode;erverving;beskriving;bilde_url;bilde_tal;digitaltmuseum_url;nasjonalmuseet_url;glb_url;lokal_bilde
27;OK-2003-0101A;a04d160d-eddb-469f-9f40-7fb3dbe6a3f3;Barnestol;"Barnestol; Barnestol, tre deler";1968 (design) 2002 ;;;;Norge, Akershus, Vestby;Meyer, Terje;Papp;Bemaling på papp;Bemaling;;H 26,2 x ⌀ 31 cm;26.2;;;;"Møbel; Design";352.1 (Sittemøbler);;Gave 2003;;https://ms01.nasjonalmuseet.no/iiif/tif/140125.tif/full/4000,/0/default.jpg;1;https://digitaltmuseum.org/0210615046606;https://www.nasjonalmuseet.no/samlingen/objekt/OK-2003-0101A;;bilete/OK-2003-0101A.jpg
43;OK-05510;2fd6e29a-ea5e-4309-9963-170525ab56a4;Stolpestol fra Baldishol;"Armstol; Stolpestol";Antakelig første halvdel 1200-tallet;1200;1220;1300-talet;Norge, Norge;;"Bjørk; Gran";Stolpekonstruksjon med dreid bjørk, flater i gran, beiset og fernissert;"Dreiing; Plugging; Tapping; Fernissering; Beising";;H 98 x B 64 x D 54 cm;98.0;64.0;54.0;;"Møbel; Kunstindustri";"322 (Trearbeid); 322.41 (Møbelsnekring); 322.52 (Dreier, tredreier); 352.1 (Sittemøbler)";;Kjøpt 1891;;"https://ms01.nasjonalmuseet.no/iiif/tif/35730.tif/full/4000,/0/default.jpg; https://ms01.nasjonalmuseet.no/iiif/tif/35729.tif/full/4000,/0/default.jpg";2;https://digitaltmuseum.org/0210615052628;https://www.nasjonalmuseet.no/samlingen/objekt/OK-05510;;bilete/OK-05510.jpg
74;OK-17303;fe7b7d3f-183c-48b1-81ca-a767533b06a3;Armstol;"Armstol; stolpestol";Ca. 1500;1500;1500;1600-talet;Norge, Norge;;Furu;Bemalt, lasert og voksbonet furu med dreid, skåret og punslet dekor.;"Lasering; Bemaling; Tapping; Voksboning; Dreiing; Punsling; Treskjæring; Profilering; Treskjæring";;H 117 x B 70 x D 44,5 cm;117.0;70.0;44.5;;Møbel;"352.1 (Sittemøbler); 322.5 (Tredreiing); 322.48 (Møbeldesign)";;Ervervelsesopplysninger under arbeid;;"https://ms01.nasjonalmuseet.no/iiif/tif/07571.tif/full/4000,/0/default.jpg; https://ms01.nasjonalmuseet.no/iiif/tif/07572.tif/full/4000,/0/default.jpg";2;https://digitaltmuseum.org/0210615058170;https://www.nasjonalmuseet.no/samlingen/objekt/OK-17303;;bilete/OK-17303.jpg
170;OK-04953;1e78e0b1-e313-44af-9c2c-5a5cf0c65bcc;Stol;Stol;Mellom 1600-1750;1600;1750;1700-talet;Norge, Nord, Gudbrandsdal;;"Bjørk; Jern; Furu";Bjørk med skåret dekor, sammenføyd med tapper.;"Treskurd; Tapping; Spikring; Flatskurd";;H 93 x B 47 x D 44,5 cm;93.0;47.0;44.5;;Møbel;"322.48 (Møbeldesign); 352.1 (Sittemøbler)";;kjøpt 1897;;"https://ms01.nasjonalmuseet.no/iiif/tif/07306.tif/full/4000,/0/default.jpg; https://ms01.nasjonalmuseet.no/iiif/tif/07245.tif/full/4000,/0/default.jpg";2;https://digitaltmuseum.org/0210615049278;https://www.nasjonalmuseet.no/samlingen/objekt/OK-04953;;bilete/OK-04953.jpg
177;OK-05538;a4fffdf4-e6ff-4dfb-b7dd-d05cf18318eb;Armstol;Armstol;1650-1669;1650;1669;1700-talet;Norge, Norge;;"Bøk; Lær";Bøk med skåret og dreid dekor, gyllenlærstrekk;"Gyllenlærfremstilling; Figurskjæring; Høyt relieff; Polstring; Dreiing; Tapping; Plugging; Beising; Fernissering";;H 116 x B 62 x D 73 cm;116.0;62.0;73.0;;Møbel;"322.48 (Møbeldesign); 352.1 (Sittemøbler)";;Kjøpt 1896;;https://ms01.nasjonalmuseet.no/iiif/tif/07414.tif/full/4000,/0/default.jpg;1;https://digitaltmuseum.org/0210615051708;https://www.nasjonalmuseet.no/samlingen/objekt/OK-05538;;bilete/OK-05538.jpg
58;OK-05554;4ffbdf5d-0e40-43b8-a1eb-b6ac84924b15;Stol;Stol;1650-tallet;1650;1659;1700-talet;Norge, Norge;;"Bøk; Lær";Bøk med skåret og dreid dekor, lærtrekk.;"Dreiing; Polstring; Relieffskjæring; Tapping; Plugging; Beising; Fernissering";;H 103,5 x B 48 x D 49,5 cm;103.5;48.0;49.5;;Møbel;"322.48 (Møbeldesign); 352.1 (Sittemøbler)";;Gave 1895;;https://ms01.nasjonalmuseet.no/iiif/tif/09086.tif/full/4000,/0/default.jpg;1;https://digitaltmuseum.org/0210615051916;https://www.nasjonalmuseet.no/samlingen/objekt/OK-05554;;bilete/OK-05554.jpg
79;OK-15700;da63f575-6c81-46b4-8bb8-15ecda0ccd9d;Armstol;Armstol;ca. 1650;1650;1650;1700-talet;Norge, Norge;;"Lønn; Lær";Lønn med skåret og dreid dekor og lærtrekk.;"Dreiing; Polstring; Ornamentskjæring; Figurskjæring; Profilering";;H 99 x B 61,5 x D 49,5 cm;99.0;61.5;49.5;;Møbel;"322.48 (Møbeldesign); 352.1 (Sittemøbler)";;Gave 1958;;https://ms01.nasjonalmuseet.no/iiif/tif/07201.tif/full/4000,/0/default.jpg;1;https://digitaltmuseum.org/0210615058428;https://www.nasjonalmuseet.no/samlingen/objekt/OK-15700;;bilete/OK-15700.jpg
98;OK-1972-0002;b79bb5fd-f3c9-49d0-8440-59d01081f52b;Armstol;Armstol;1660-1680;1660;1680;1700-talet;Norge, Norge;Ukjent;"Bøk; Messing; Silke";Fernissert bøk med dreid og skåret dekor, trekk i silkedamask.;"Fernissering; Damask; Dreiing; Innfelling; Polstring; Gjennombrutt utskjæring; Lavt relieff";;H 109,3 x B 62 x D42 cm;109.3;62.0;42.0;;Møbel;"322.48 (Møbeldesign); 352.1 (Sittemøbler)";;Gave 1972;;https://ms01.nasjonalmuseet.no/iiif/tif/07503.tif/full/4000,/0/default.jpg;1;https://digitaltmuseum.org/0210615060930;https://www.nasjonalmuseet.no/samlingen/objekt/OK-1972-0002;;bilete/OK-1972-0002.jpg
53;OK-02274;f48a2a0b-5e26-4bf9-b429-28de9aaedd2e;Stol;"Stol; Gyldenlærstol";Slutten av 1600-tallet;1680;1700;1700-talet;Norge, Norge;Torleifsen Ødven, Magnus;"Ask; Strie; Messing; Lær; Kryssfiner";Relieffskåret ask og gyldenlær;"Gyllenlærfremstilling; Tapping; Plugging; Polstring; Gjennombrutt utskjæring; Relieffskjæring; Fernissering; Beising";;H 137 x B 59 x D 63 cm;137.0;59.0;63.0;;Møbel;"352.1 (Sittemøbler); 531.33 (Gyldenlærmaker)";;Kjøpt 1884;;https://ms01.nasjonalmuseet.no/iiif/tif/94778.tif/full/4000,/0/default.jpg;1;https://digitaltmuseum.org/0210615047504;https://www.nasjonalmuseet.no/samlingen/objekt/OK-02274;;bilete/OK-02274.jpg
4;OK-02465;83d0bed0-ace5-4023-87eb-cbf311e25e67;Lenestol;"Lenestol; Lænestol";mellom 1690-1710;1690;1710;1700-talet;Norge, Norge;Ukjent;"Bøk; Messing; Lær; Lin";Bøk med skåret og dreid dekor, gyllenlærstrekk.;"Dreiing; Gyllenlærfremstilling; Polstring; Gjennombrutt utskjæring; Lavt relieff; Figurskjæring; Tapping; Plugging; Fernissering";;H 151 x B 89 x D 86 cm;151.0;89.0;86.0;;Møbel;"322.48 (Møbeldesign); 352.1 (Sittemøbler)";;Kjøpt 1885;;"https://ms01.nasjonalmuseet.no/iiif/tif/07243.tif/full/4000,/0/default.jpg; https://ms01.nasjonalmuseet.no/iiif/tif/00076.tif/full/4000,/0/default.jpg";2;https://digitaltmuseum.org/0210615049022;https://www.nasjonalmuseet.no/samlingen/objekt/OK-02465;;bilete/OK-02465.jpg
