prop,test,estimat,ci_low,ci_high,robust,rating
1.4,NN distance CV catalog (Poisson null 0.36),5.36,3.71,5.94,YES,***
1.4 mesh,NN distance CV mesh,0.96,0.86,1.04,YES,***
2.4,proxy dominance catalog (4/4 dims),4/4,,,YES,***
2.4 mesh,proxy dominance mesh (4/4 dims),4/4,,,YES,***
3.2,KDE multimodal in (H H/W),2 modes,,,partial,**
3.3 mesh,CV span across mesh features,128,50,158,YES,***
3.4 mesh,silhouette in 4D mesh space (negative),-0.34,-0.37,-0.33,YES,***
4.3,max jump / median jump,6.08,2.33,6.87,partial,**
4.4,cumulative hull catalog (clipped 1-99%),107,30,117165,YES,***
4.4 mesh,cumulative hull mesh,553,435,752308,YES,***
4.5a,norsk mahogni 1825-1849 deterministic,16/16=100%,,,deterministic,***
4.5b,H/W CV ratio collapse 1825-1849,0.59,0.27,1.12,small_n,*
5.1,KS H vs uniform,p<<10^-200,,,YES,***
5.1,KS H vs random walk,p<10^-63,,,YES,***
5.1,KS W vs uniform,p<<10^-200,,,YES,***
5.1,KS W vs random walk,p<10^-119,,,YES,***
5.1,KS D vs uniform,p<<10^-200,,,YES,***
5.1,KS D vs random walk,p<10^-91,,,YES,***
falsification 2.2 a,min pairwise MI matgr-Nasj,0.030 bits,,,HELD,***
falsification 2.2 b,gain in R2 from full predictors over stil only,0.045,,,HELD,***
falsification 4.1 H,mean Wasserstein H consecutive 50y periods,14.36 cm,,,HELD,***
falsification 4.1 W,mean Wasserstein W consecutive 50y periods,8.19 cm,,,HELD,***
falsification 4.1 D,mean Wasserstein D consecutive 50y periods,5.89 cm,,,HELD,***
