prop,test,statistic,ci_low,ci_high,p,verdict,notes
1.4,NN distance CV in catalog space (Poisson null = 0.36),5.360,3.7061,5.9417,NA,STADFESTA,"CI95=[3.706, 5.942], n=1664"
2.4,proxy dominance (stil > mat on 3/4 dims),4/4,,,NA,STADFESTA,H: stil=0.590 mat=0.087; W: stil=0.344 mat=0.057; D: stil=0.304 mat=0.063; HW: stil=0.549 mat=0.101
3.2,KDE local maxima count,2,,,NA,STADFESTA,"n=1611, density threshold = 5% of peak"
4.3,max jump / median jump (smoothed period medians),6.08,2.3285,6.8714,NA,STADFESTA,"CI95=[2.33, 6.87], n=1663"
4.4,cumulative hull growth ratio (clipped 1-99%),107.2,30.0260,117164.9986,NA,STADFESTA*,"monotone=True, periods=24, CI95=[30×, 117165×]"
5.1,KS-test vs uniform,"KS for H,W,D",,,see notes,STADFESTA,"Ho: KS=0.868, p=0.00e+00; Br: KS=0.845, p=0.00e+00; Dj: KS=0.869, p=0.00e+00"
4.5a,norsk mahogni-konsentrasjon 1825-1849 (deterministisk),16/16 = 100%,,,NA,STADFESTA,1825-49 n=16 mahogni=1.00 CV(HW)=0.083; 1750-99 n=16 mahogni=0.00 CV(HW)=0.140; 1850-99 n=9 CV(HW)=0.090
4.5b,H/W-CV-kollaps 1825-1849 (samanlikna med naboperiodar),0.59,0.2664,1.1160,NA,MODERAT,"CI95=[0.27, 1.12], n=16 vs 16/9"
2.4 mesh,proxy dominance on mesh features,4/4,,,NA,STADFESTA,sphericity: stil=0.232 mat=0.055; fill_ratio: stil=0.125 mat=0.000; inertia_ratio: stil=0.178 mat=0.035; complexity: stil=0.387 mat=0.044
3.4 mesh,silhouette in 4-D mesh feature space (negative = stadfest 3.4),-0.338,-0.3660,-0.3254,NA,STADFESTA,"CI95=[-0.366, -0.325], n=1971, n_styles=25"
1.4 mesh,NN distance CV in mesh feature space (Poisson null = 0.36),0.956,0.8554,1.0401,NA,STADFESTA,"CI95=[0.855, 1.040], n=2202"
4.4 mesh,cumulative mesh-hull growth ratio,553,434.5951,752307.9854,NA,STADFESTA,"monotone=True, CI95=[435×, 752308×], n=2028"
3.3 mesh,CV span (max/min across mesh features),128.4×,50.3087,158.2440,NA,STADFESTA,"CI95=[50×, 158×]; most channeled = sphericity (CV=0.074)"
