position,chair_idx,obj_id
0,1050,NMK.2018.0486
1,554,O181061
2,1993,O112269
3,72,O144307
4,184,O372212
5,1977,O78383
6,2236,O71093
7,1494,O1176649
8,211,O1176648
9,1689,O372042
10,1448,O372074
11,1234,NMK.2018.0221
12,1388,NMK.2018.0221
13,1287,OK-2003-0202
14,1318,OK-2003-0202
15,1425,O120670
16,1062,OK-2003-0115
17,1525,O1153458
18,190,O1241466
19,452,O372050
20,1465,O21606
21,272,O62435
22,1504,O115282
23,1497,O371735
24,2008,O181076
25,1771,O176200
26,1888,O1140195
27,1167,OK-2003-0100
28,1196,OK-2003-0100
29,1370,OK-2003-0100
30,576,O181078
31,1795,O119275
32,1251,OK-2001-0151
33,1265,OK-2001-0151
34,116,O1223755
35,1650,O87515
36,1539,O73628
37,1661,O370421
38,2182,O301104
39,1093,OK-1987-0096
40,446,O371823
41,740,O52926
42,1573,O87512
43,1749,O1604206
44,2068,O144056
45,2121,O144053
46,1914,O144560
47,1117,NMK.2009.0116
48,1507,O1612386
49,1884,O371985
50,1581,O176184
51,1515,O372148
52,1804,O182804
53,274,O115748
54,2267,O1156386
55,1818,O1463692
56,1580,O70990
57,1518,O130048
58,621,O154305
59,334,O1176650
60,1337,OK-1999-0054
61,1351,OK-1999-0054
62,1252,OK-1999-0053
63,1272,OK-1999-0053
64,224,O1160555
65,2129,O16031
66,22,O371748
67,24,O371749
68,1757,O181073
69,16,O181072
70,2269,O370277
71,1819,O368624
72,33,O368625
73,1974,O144603
74,1476,O133484
75,1324,OK-1989-0001B
76,1354,OK-1989-0001B
77,917,OK-09415C
78,918,OK-09415C
79,919,OK-09415A
80,915,OK-09415D
81,916,OK-09415D
82,820,OK-13678a
83,821,OK-13678a
84,819,OK-13678b
85,1961,O369669
86,769,OK-17289F
87,770,OK-17289E
88,774,OK-17289A
89,775,OK-17289A
90,776,OK-17289A
91,772,OK-17289C
92,773,OK-17289B
93,771,OK-17289D
94,679,O132494
95,1067,OK-1966-0108
96,1244,OK-1978-0217B
97,1377,OK-1978-0217B
98,1249,OK-1978-0215B
99,1264,OK-1978-0215B
100,1239,NMK.2018.0430
101,1386,NMK.2018.0430
102,2239,O71106
103,1647,O182425
104,2091,O181063
105,1796,O1273517
106,2154,O182430
107,2156,O182426
108,1827,O372040
109,1840,O372135
110,469,O172546
111,2119,O371869
112,2065,O80327
113,1898,O80324
114,1948,O80337
115,2046,O80370
116,108,O80375
